"Country Name","Country Code","Indicator Name","Indicator Code","1960","1970","1980","1990","2000","2010","2012","2014","2016","2017","2018",""
"Aruba","ABW","Población, total","SP.POP.TOTL","54211","59063","60096","62149","90853","101669","102577","103795","104822","105264","",""
"Afganistán","AFG","Población, total","SP.POP.TOTL","8996351","11126123","13248370","12249114","20093756","28803167","30696958","32758020","34656032","35530081","",""
"Angola","AGO","Población, total","SP.POP.TOTL","5643182","6776381","8929900","12171441","16440924","23369131","25096150","26920466","28813463","29784193","",""
"Albania","ALB","Población, total","SP.POP.TOTL","1608800","2135479","2671997","3286542","3089027","2913021","2900401","2889104","2876101","2873457","",""
"Andorra","AND","Población, total","SP.POP.TOTL","13411","24276","36067","54509","65390","84449","82431","79223","77281","76965","",""
"El mundo árabe","ARB","Población, total","SP.POP.TOTL","92490932","122398374","165689490","224735446","283832016","356508908","373306993","390043028","406452690","414491886","",""
"Emiratos Árabes Unidos","ARE","Población, total","SP.POP.TOTL","92634","235499","1042384","1860174","3154925","8270684","8900453","9070867","9269612","9400145","",""
"Argentina","ARG","Población, total","SP.POP.TOTL","20619075","23973058","28105888","32729739","37057452","41223889","42096739","42981515","43847430","44271041","",""
"Armenia","ARM","Población, total","SP.POP.TOTL","1874120","2525065","3099751","3538165","3069588","2877311","2881922","2906220","2924816","2930450","",""
"Samoa Americana","ASM","Población, total","SP.POP.TOTL","20013","27292","32457","47038","57521","55637","55230","55437","55599","55641","",""
"Antigua y Barbuda","ATG","Población, total","SP.POP.TOTL","55339","67098","73442","66696","83584","94661","96777","98875","100963","102012","",""
"Australia","AUS","Población, total","SP.POP.TOTL","10276477","12507000","14692000","17065100","19153000","22031750","22733465","23475686","24190907","24601860","",""
"Austria","AUT","Población, total","SP.POP.TOTL","7047539","7467086","7549433","7677850","8011566","8363404","8429991","8546356","8736668","8797566","",""
"Azerbaiyán","AZE","Población, total","SP.POP.TOTL","3895396","5180025","6150738","7159000","8048600","9054332","9295784","9535079","9757812","9854033","",""
"Burundi","BDI","Población, total","SP.POP.TOTL","2786106","3455606","4116817","5415415","6400706","8766930","9319710","9891790","10524117","10864245","",""
"Bélgica","BEL","Población, total","SP.POP.TOTL","9153489","9655549","9859242","9967379","10251250","10895586","11106932","11209057","11331422","11382393","",""
"Benin","BEN","Población, total","SP.POP.TOTL","2431622","2912340","3717165","4978496","6865951","9199259","9729160","10286712","10872298","11175692","",""
"Burkina Faso","BFA","Población, total","SP.POP.TOTL","4829288","5624600","6822843","8811034","11607942","15605217","16571216","17585977","18646433","19193382","",""
"Bangladesh","BGD","Población, total","SP.POP.TOTL","48199747","65047770","81470860","106188642","131581243","152149102","155727053","159405279","162951560","164669751","",""
"Bulgaria","BGR","Población, total","SP.POP.TOTL","7867374","8489574","8861535","8718289","8170172","7395599","7305888","7223938","7127822","7075947","",""
"Bahrein","BHR","Población, total","SP.POP.TOTL","162427","212605","359888","495931","664614","1240862","1300217","1336397","1425171","1492584","",""
"Bahamas","BHS","Población, total","SP.POP.TOTL","109528","169354","210661","256336","297890","360832","372039","382169","391232","395361","",""
"Bosnia y Herzegovina","BIH","Población, total","SP.POP.TOTL","3225668","3760527","4179855","4463422","3766706","3722084","3648200","3566002","3516816","3507017","",""
"Belarús","BLR","Población, total","SP.POP.TOTL","8198000","9040000","9643000","10189000","9979610","9490583","9464495","9474511","9501534","9498264","",""
"Belice","BLZ","Población, total","SP.POP.TOTL","92064","122182","144155","187552","247315","321608","336701","351694","366954","374681","",""
"Bermudas","BMU","Población, total","SP.POP.TOTL","44400","55000","54670","59326","61833","65124","64798","65139","65341","65441","",""
"Bolivia","BOL","Población, total","SP.POP.TOTL","3693449","4505778","5589575","6856244","8339512","9918242","10239004","10562159","10887882","11051600","",""
"Brasil","BRA","Población, total","SP.POP.TOTL","72207554","95326793","121159761","149352145","175287587","196796269","200560983","204213133","207652865","209288278","",""
"Barbados","BRB","Población, total","SP.POP.TOTL","230939","238848","252194","260374","269847","279569","281585","283385","284996","285719","",""
"Brunei Darussalam","BRN","Población, total","SP.POP.TOTL","81745","129583","193949","258785","333241","388662","399748","411704","423196","428697","",""
"Bhután","BTN","Población, total","SP.POP.TOTL","223288","298301","409172","537280","573416","727641","752967","776448","797765","807610","",""
"Botswana","BWA","Población, total","SP.POP.TOTL","524552","695597","1001158","1377912","1728340","2014866","2089315","2168573","2250260","2291661","",""
"República Centroafricana","CAF","Población, total","SP.POP.TOTL","1503508","1828709","2279821","2939780","3754986","4448525","4490416","4515392","4594621","4659080","",""
"Canadá","CAN","Población, total","SP.POP.TOTL","17909009","21324000","24593000","27791000","30769700","34005274","34750545","35535348","36264604","36708083","",""
"Europa Central y del Báltico","CEB","Población, total","SP.POP.TOTL","91401764","99134548","106576687","110743128","108447824","104421447","103935318","103496179","102994343","102735349","",""
"Suiza","CHE","Población, total","SP.POP.TOTL","5327827","6180877","6319408","6715519","7184250","7824909","7996861","8188649","8373338","8450851","",""
"Islas del Canal","CHI","Población, total","SP.POP.TOTL","109420","121197","128212","140671","148725","159581","161358","162969","164541","165314","",""
"Chile","CHL","Población, total","SP.POP.TOTL","7716625","9563865","11266226","13242132","15262754","16993354","17309746","17613798","17909754","18054726","",""
"China","CHN","Población, total","SP.POP.TOTL","667070000","818315000","981235000","1135185000","1262645000","1337705000","1350695000","1364270000","1378665000","1386395000","",""
"Côte d'Ivoire","CIV","Población, total","SP.POP.TOTL","3558988","5242395","8293675","12267754","16686561","20401331","21418603","22531350","23695919","24294750","",""
"Camerún","CMR","Población, total","SP.POP.TOTL","5176268","6527635","8618354","11715218","15274234","19970495","21082383","22239904","23439189","24053727","",""
"Congo, República Democrática del","COD","Población, total","SP.POP.TOTL","15248251","20009935","26357462","34614581","47076387","64523263","68978682","73722860","78736153","81339988","",""
"Congo, República del","COG","Población, total","SP.POP.TOTL","1037220","1364812","1839935","2440457","3225727","4386693","4633363","4871101","5125821","5260750","",""
"Colombia","COL","Población, total","SP.POP.TOTL","16480383","22061215","27737900","34271565","40403958","45918097","46881475","47791911","48653419","49065615","",""
"Comoras","COM","Población, total","SP.POP.TOTL","191121","230054","307829","411594","542357","689692","723868","759385","795601","813912","",""
"Cabo Verde","CPV","Población, total","SP.POP.TOTL","202310","270198","286657","341883","435079","502384","513979","526437","539560","546388","",""
"Costa Rica","CRI","Población, total","SP.POP.TOTL","1333040","1848866","2389310","3095995","3925443","4545280","4654122","4757575","4857274","4905769","",""
"Estados pequeos del Caribe","CSS","Población, total","SP.POP.TOTL","4198307","4900059","5497756","6021614","6530691","6984096","7074129","7162679","7245472","7284294","",""
"Cuba","CUB","Población, total","SP.POP.TOTL","7141135","8715123","9835177","10582081","11150736","11333051","11382146","11439767","11475982","11484636","",""
"Curacao","CUW","Población, total","SP.POP.TOTL","124826","144739","148041","145400","133860","148703","152088","155909","159664","160175","",""
"Islas Caimán","CYM","Población, total","SP.POP.TOTL","7865","9144","16162","25010","41687","55507","57523","59172","60765","61559","",""
"Chipre","CYP","Población, total","SP.POP.TOTL","572930","613621","685406","766614","943286","1112607","1135062","1152309","1170125","1179551","",""
"República Checa","CZE","Población, total","SP.POP.TOTL","9602006","9858071","10304193","10333355","10255063","10474410","10510785","10525347","10566332","10594438","",""
"Alemania","DEU","Población, total","SP.POP.TOTL","72814900","78169289","78288576","79433029","82211508","81776930","80425823","80982500","82348669","82685827","",""
"Djibouti","DJI","Población, total","SP.POP.TOTL","83636","159659","358960","590398","717584","851146","881185","912164","942333","956985","",""
"Dominica","DMA","Población, total","SP.POP.TOTL","60011","71073","75314","70926","69676","71440","72044","72778","73543","73925","",""
"Dinamarca","DNK","Población, total","SP.POP.TOTL","4579603","4928757","5123027","5140939","5339616","5547683","5591572","5643475","5728010","5764980","",""
"República Dominicana","DOM","Población, total","SP.POP.TOTL","3294042","4503114","5809269","7183647","8562622","9897985","10154950","10405844","10648791","10766998","",""
"Argelia","DZA","Población, total","SP.POP.TOTL","11124888","14550034","19337715","25912367","31183660","36117637","37565847","39113313","40606052","41318142","",""
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Población, total","SP.POP.TOTL","893956327","1116105178","1359492990","1604526529","1815956211","1966231608","1994651365","2023837097","2053299126","2068307600","",""
"inicial del dividendo demográfico","EAR","Población, total","SP.POP.TOTL","979287407","1247052966","1592673530","2031828081","2474600589","2909410986","2997066325","3084236443","3170657660","3213427823","",""
"Asia oriental y el Pacífico","EAS","Población, total","SP.POP.TOTL","1040034304","1289319574","1558241583","1821518023","2047138744","2207155022","2237073498","2267716950","2298707239","2314367614","",""
"Europa y Asia central (excluido altos ingresos)","ECA","Población, total","SP.POP.TOTL","274947938","314288628","349906056","385427446","392316800","398913899","403343565","408264037","413243140","415532934","",""
"Europa y Asia central","ECS","Población, total","SP.POP.TOTL","667246565","737949430","793948872","842845841","862005219","888754848","894562528","903115574","911694031","915483880","",""
"Ecuador","ECU","Población, total","SP.POP.TOTL","4545550","6072527","7976445","10218091","12628596","14934690","15419666","15903112","16385068","16624858","",""
"Egipto, República Árabe de","EGY","Población, total","SP.POP.TOTL","26996533","35046273","44099142","57412215","69905988","84107606","87813257","91812566","95688681","97553151","",""
"Zona del Euro","EMU","Población, total","SP.POP.TOTL","265396502","287416205","302363486","311539698","321310787","336151474","336159190","338466271","340616862","341443382","",""
"Eritrea","ERI","Población, total","SP.POP.TOTL","1397491","1811878","2385540","3113311","3392801","4390840","","","","","",""
"España","ESP","Población, total","SP.POP.TOTL","30455000","33814531","37491165","38867322","40567864","46576897","46773055","46480882","46483569","46593171","",""
"Estonia","EST","Población, total","SP.POP.TOTL","1211537","1360076","1477219","1569174","1396985","1331475","1322696","1314545","1315790","1317384","",""
"Etiopía","ETH","Población, total","SP.POP.TOTL","22151278","28415077","35264898","48086516","66537331","87702670","92444183","97366774","102403196","104957438","",""
"Unión Europea","EUU","Población, total","SP.POP.TOTL","409498644","442063518","464404695","478002675","488221134","504298772","505096228","508193872","511218467","512431044","",""
"Frágiles y situaciones de conflicto afectados","FCS","Población, total","SP.POP.TOTL","119967877","153859672","202791782","259301889","337602457","433388814","454618893","476608101","499508468","511336623","",""
"Finlandia","FIN","Población, total","SP.POP.TOTL","4429634","4606307","4779535","4986431","5176209","5363352","5413971","5461512","5495303","5508214","",""
"Fiji","FJI","Población, total","SP.POP.TOTL","393386","520529","635255","728628","811223","859950","873596","885806","898760","905502","",""
"Francia","FRA","Población, total","SP.POP.TOTL","46814237","52035095","55340782","58512808","60912500","65027507","65659789","66316092","66859768","67105513","",""
"Islas Feroe","FRO","Población, total","SP.POP.TOTL","34661","39083","43514","47594","47258","48550","48666","48842","49117","49290","",""
"Micronesia (Estados Federados de)","FSM","Población, total","SP.POP.TOTL","44537","61431","72964","96331","107432","103616","103503","104015","104937","105544","",""
"Gabón","GAB","Población, total","SP.POP.TOTL","499184","590118","729159","952212","1231122","1640210","1756817","1875713","1979786","2025137","",""
"Reino Unido","GBR","Población, total","SP.POP.TOTL","52400000","55663250","56314216","57247586","58892514","62766365","63700300","64613160","65595565","66023290","",""
"Georgia","GEO","Población, total","SP.POP.TOTL","3645600","4119900","4467700","4802000","4077131","3786695","3728874","3719414","3727505","3728004","",""
"Ghana","GHA","Población, total","SP.POP.TOTL","6652287","8596983","10802028","14628260","18938762","24512104","25733049","26962563","28206728","28833629","",""
"Gibraltar","GIB","Población, total","SP.POP.TOTL","23394","28560","30272","29164","31180","33189","33623","34038","34408","34571","",""
"Guinea","GIN","Población, total","SP.POP.TOTL","3577409","4219770","4511902","6041094","8808546","10794170","11281469","11805509","12395924","12717176","",""
"Gambia","GMB","Población, total","SP.POP.TOTL","367928","447285","604369","916808","1231844","1692149","1802125","1917852","2038501","2100568","",""
"Guinea-Bissau","GNB","Población, total","SP.POP.TOTL","616409","711827","800854","1012280","1243229","1555880","1638139","1725744","1815698","1861283","",""
"Guinea Ecuatorial","GNQ","Población, total","SP.POP.TOTL","255323","306515","255325","426846","614323","951104","1038593","1129424","1221490","1267689","",""
"Grecia","GRC","Población, total","SP.POP.TOTL","8331725","8792806","9642505","10196792","10805808","11121341","11045011","10892413","10775971","10753531","",""
"Granada","GRD","Población, total","SP.POP.TOTL","89869","94426","89005","96283","101619","104677","105481","106360","107317","107825","",""
"Groenlandia","GRL","Población, total","SP.POP.TOTL","32500","46400","50200","55600","56200","56905","56810","56295","56186","56171","",""
"Guatemala","GTM","Población, total","SP.POP.TOTL","4210747","5621792","7283459","9263813","11650743","14630417","15271056","15923559","16582469","16913503","",""
